Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.91276817,-80.13791017,42:46.6,12/16/21,4,0.394,294.35,-7.142358562,2.12,66,61.5,1.33,-5.11,30.5,0,1.8,1.8,45,22,249.5,14.6,-1.5,D,683.5,0,7.57,2,0,128,111.41,-80.1378397,25.91274332,0,0,1,N,0.6391832,65,65,11,5,5,279.9857,0,9999.99,1.81,1.937,2,9,26.9,0,26.89999962,49.56,1554.31045,12/16/21,14:18:24,25.95,72.11,49.56,1.183,7.99,-58.7,-2.2,-0.2,-2629,88.6,5.44,12.7,
25.91276933,-80.137909,42:47.6,12/16/21,4,0.879,294.35,-7.142358562,2.12,65.1,60.62,0.88,-5.87,30.4,0,1.79,1.79,45,22,249.5,14.6,-1.5,D,683.5,0,7.57,2,0,128,111.41,-80.1378397,25.91274332,0,0,1,N,0.6391832,64,64,11,5,5,279.9857,0,9999.99,1.8,1.927,2,9,26.9,0,26.89999962,49.58,1554.33186,12/16/21,14:18:25,25.96,72.13,49.58,1.187,7.99,-58.4,-2.7,-0.9,-2198,87.5,5.37,12.8,
25.91277017,-80.1379097,42:48.6,12/16/21,4,0.964,294.35,-7.142358562,2.12,60.6,56.21,2.12,-1.12,30.5,0.01,1.8,1.81,45,22,249.5,14.6,-1.5,D,683.5,1,20.146,2,0.03,174,110.75,-80.13772134,25.91270598,0,0,1,N,0.500329,70,70,11,250,250,111.2843,0,9999.99,1.81,1.937,2,9,26.9,0,26.89999962,49.56,1554.31066,12/16/21,14:18:26,25.96,72.1,49.56,1.201,7.99,-58.8,-3.2,0.5,-3149,86.4,5.3,12.7,
25.91277101,-80.13790648,42:49.7,12/16/21,4,0.522,294.35,-7.142358562,2.12,63.4,58.96,1.23,0.2,30.5,0.01,1.67,1.68,45,25,249.5,14.6,-1.7,D,592.5,1,19.879,2,0.03,174,111.33,-80.13772134,25.91270598,0,0,1,N,0.5113472,66,66,11,250,250,112.0848,0,9999.99,1.68,1.807,2,9,26.9,0,26.89999962,49.52,1554.26845,12/16/21,14:18:28,25.96,72.06,49.52,1.2,8.03,-61.1,-3.7,-3.1,-2912,84.2,5.17,12.6,
25.91277491,-80.13790336,42:50.7,12/16/21,4,0.742,294.35,-7.142358562,2.12,67.8,63.26,0.87,1.19,30.5,0.01,1.85,1.86,45,25,249.5,14.6,-1.7,D,592.5,1,19.753,2,0.24,174,112.83,-80.13772134,25.91270598,0,0,1,N,0.78355,62,62,11,250,250,114.1152,0,9999.99,1.86,1.987,2,9,26.9,0,26.89999962,49.52,1554.26845,12/16/21,14:18:28,25.96,72.06,49.52,1.2,8.03,-61.1,-3.7,-3.1,-2912,84.2,5.17,12.6,
25.91277757,-80.13790009,42:51.7,12/16/21,4,1.192,294.35,-7.142358562,2.12,75.5,70.71,0.92,3.55,30.5,0,1.94,1.95,45,25,249.5,14.6,-1.7,D,592.5,1,19.57,2,0.73,174,114,-80.13772134,25.91270598,0,0,1,N,1.570939,63,63,11,250,250,115.6928,0,9999.99,1.95,2.077,2,9,26.9,0,26.89999962,49.52,1554.26781,12/16/21,14:18:29,25.96,72.06,49.52,1.163,7.99,-58.7,-4.8,-3.5,-3047,83.1,5.1,12.7,
25.91277783,-80.13789637,42:52.7,12/16/21,4,1.752,294.35,-7.142358562,2.12,106,99.47,-18.8,6.09,30.4,0,2.09,2.1,45,39,249.5,14.6,-2.6,D,387,1,19.242,2,0.73,174,114.53,-80.13772134,25.91270598,0,0,1,N,1.741004,43,43,11,195,195,116.5341,0,9999.99,1.93,2.056679,2,9,26.9,0,26.89999962,49.35,1554.08581,12/16/21,14:18:31,25.95,71.83,49.35,1.198,7.99,-58.5,-4,-4.1,-1213,81.1,4.99,12.7,
25.91277826,-80.13789564,42:53.7,12/16/21,4,0.788,294.35,-7.142358562,2.12,77.6,72.72,1.92,6.8,30.4,0.01,2.15,2.17,45,39,249.5,14.6,-2.6,D,387,1,19.196,2,0.95,174,114.75,-80.13772134,25.91270598,0,0,1,N,1.781163,75,75,11,250,250,116.7193,0,9999.99,2.17,2.297,2,9,26.9,0,26.89999962,49.35,1554.08581,12/16/21,14:18:31,25.95,71.83,49.35,1.198,7.99,-58.5,-4,-4.1,-1213,81.1,4.99,12.7,
25.91277526,-80.13788935,42:54.7,12/16/21,4,0.907,294.35,-7.142358562,2.12,82.3,77.22,-0.2,2.55,30.4,0.01,2.15,2.17,45,39,249.5,14.6,-2.6,D,387,1,18.486,2,0.77,174,114.63,-80.13772134,25.91270598,0,0,1,N,1.687336,56,56,11,250,250,116.6849,0,9999.99,2.17,2.297,2,9,26.9,0,26.89999962,49.47,1554.21555,12/16/21,14:18:32,25.94,71.99,49.47,1.206,7.98,-58.2,-3.3,-2.3,-2676,80.2,4.92,12.6,
25.91277892,-80.1378879,42:55.7,12/16/21,4,1.235,294.35,-7.142358562,2.12,82.2,77.12,0.21,2.18,30.4,0,2.24,2.24,45,39,249.5,14.6,-2.6,D,387,1,18.529,2,0.83,174,115.96,-80.13772134,25.91270598,0,0,1,N,2.12024,58,58,11,250,250,118.5463,0,9999.99,2.24,2.367,2,9,26.9,0,26.89999962,49.51,1554.25702,12/16/21,14:18:34,25.95,72.04,49.51,1.291,7.98,-58.1,-4.3,-3.8,-2651,78.3,4.81,12.8,
