Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.91279317,-80.13785767,17:37.3,11/16/22,6,2.556,309.06,-7.23198201,2.77,84.3,79.03,1.58,-2.31,32.6,0,2.61,2.61,98,22,525.3,16.4,-1.3,D,1610.7,0,5.438,2,0,128,141.98,-80.13782418,25.91275464,0,0,1,N,2.360971,67,67,11,5,5,267.5309,0,9999.99,2.63,2.757,2,9,30.3,0,30.39999962,47.8,1559.62423,11/16/22,11:49:51,28.08,69.95,47.8,1.227,8.27,-75.6,-2.1,-3.8,-2032,99.4,5.96,13.2,
25.91279833,-80.13785567,17:38.4,11/16/22,7,1.41,309.06,-7.23198201,1.53,84.5,79.22,2.4,-6.01,32.6,0,2.59,2.59,98,22,525.3,16.4,-1.3,D,1582.7,0,5.79,2,0,128,147.05,-80.13782418,25.91275464,0,0,1,N,2.964492,71,71,11,5,5,263.9987,0,9999.99,2.61,2.737,2,9,30.3,0,30.29999924,47.8,1559.4292,11/16/22,11:49:52,28.07,69.95,47.8,1.196,8.27,-75.6,-2.2,-5.6,-1681,99.4,5.95,13,
25.91280012,-80.13785626,17:39.4,11/16/22,7,0.926,309.06,-7.23198201,1.53,82,76.85,3.78,1.86,32.5,0.01,2.56,2.56,98,22,525.3,16.4,-1.3,D,1582.7,1,22.888,2,0.07,174,149.05,-80.13773856,25.9126236,0,0,1,N,0.2069548,77,77,11,250,250,148.7209,0,9999.99,2.58,2.707,2,9,30.3,0,30.29999924,47.69,1559.31485,11/16/22,11:49:54,28.09,69.81,47.69,1.2,8.27,-75.7,-0.9,-5.2,-1971,98.9,5.93,13.2,
25.91279698,-80.1378605,17:40.4,11/16/22,6,0.866,309.06,-7.23198201,2.4,85.2,79.89,1.05,-0.2,32.6,0.01,2.62,2.63,98,22,525.3,16.4,-1.3,D,1582.7,1,22.813,2,0.27,174,147.68,-80.13773856,25.9126236,0,0,1,N,0.7609712,63,63,11,250,250,146.4668,0,9999.99,2.63,2.757,2,9,30.3,0,30.29999924,47.69,1559.31485,11/16/22,11:49:54,28.09,69.81,47.69,1.2,8.27,-75.7,-0.9,-5.2,-1971,98.9,5.93,13.2,
25.91279801,-80.13785853,17:41.4,11/16/22,6,0.457,309.06,-7.23198201,2.4,89,83.48,1.4,6.3,32.6,0,2.63,2.64,98,38,525.2,16.4,-2.3,D,923.2,1,22.805,2,0.49,174,148.25,-80.13773856,25.9126236,0,0,1,N,0.5457841,67,67,11,250,250,147.3404,0,9999.99,2.65,2.777,2,9,30.2,0,30.29999924,48.13,1559.77447,11/16/22,11:49:55,28.09,70.37,48.13,1.206,8.27,-75.5,-2.8,-5.6,-769,98.6,5.9,13.2,
25.91280341,-80.13785208,17:42.4,11/16/22,6,0.576,309.06,-7.23198201,2.4,90.3,84.71,-0.85,8.9,32.5,0,2.78,2.78,98,38,525.2,16.4,-2.3,D,923.2,1,22.993,2,0.71,174,150.41,-80.13773856,25.9126236,0,0,1,N,0.3064324,49,49,11,250,250,150.7854,0,9999.99,2.77,2.895465,2,9,30.2,0,30.20000076,47.76,1559.192,11/16/22,11:49:57,28.01,69.9,47.76,1.233,8.28,-75.9,-3,-0.7,-1993,98.4,5.9,13.2,
25.91280149,-80.13784487,17:43.4,11/16/22,6,0.759,309.06,-7.23198201,1.53,89.6,84.05,4.05,-2.15,32.6,0.01,2.76,2.77,98,38,525.2,16.4,-2.3,D,923.2,1,22.457,2,0.83,174,151.74,-80.13773856,25.9126236,0,0,1,N,0.8116063,81,81,11,250,250,152.939,0,9999.99,2.8,2.925965,2,9,30.2,0,30.20000076,47.76,1559.192,11/16/22,11:49:57,28.01,69.9,47.76,1.233,8.28,-75.9,-3,-0.7,-1993,98.4,5.9,13.2,
25.91279665,-80.13783913,17:44.4,11/16/22,6,1.387,309.06,-7.23198201,1.53,94.3,88.47,2.04,4.24,32.5,0.01,2.98,3,98,38,525.2,16.4,-2.3,D,923.2,1,21.713,2,0.98,174,152.4,-80.13773856,25.9126236,0,0,1,N,1.022303,69,69,11,250,250,154.0615,0,9999.99,3,3.127,2,9,30.1,0,30.20000076,47.76,1559.19299,11/16/22,11:49:58,27.96,69.89,47.76,1.219,8.28,-75.9,-2.7,-6.4,649,98.4,5.91,13.3,
25.91279352,-80.13783126,17:45.4,11/16/22,6,1.087,309.06,-7.23198201,1.53,99.9,93.71,2.06,0.83,32.5,0.01,3.01,3.02,98,40,525.2,16.4,-2.4,D,894.1,1,21.046,2,1.08,174,153.86,-80.13773856,25.9126236,0,0,1,N,1.520752,69,69,11,250,250,156.6227,0,9999.99,3.03,3.157,2,9,30.1,0,30.10000038,47.59,1558.81859,11/16/22,11:50:00,27.89,69.68,47.59,1.198,8.28,-76.1,-2.4,-2,-650,98.1,5.9,13.1,
25.91281016,-80.13784264,17:46.4,11/16/22,7,2.546,309.06,-7.23198201,1.53,106.1,99.48,2.9,2.83,32.6,0.01,3.13,3.14,98,40,525.2,16.4,-2.4,D,894.1,1,23.209,2,1.2,174,153.35,-80.13773856,25.9126236,0,0,1,N,1.481762,74,74,11,250,250,155.3958,0,9999.99,3.16,3.287,2,9,30,0,30.10000038,47.59,1558.81859,11/16/22,11:50:00,27.89,69.68,47.59,1.198,8.28,-76.1,-2.4,-2,-650,98.1,5.9,13.1,
