Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.91273133,-80.13782033,29:28.5,10/7/22,8,0.108,319.79,-7.22131876,1.02,1,355.8,1.4,-5.69,33.5,0,3.17,3.17,95,22,510.9,16.3,-1.3,D,1550.5,0,4.624,1,0.06,128,284.78,-80.13786503,25.91274194,0,0,1,N,2.249775,65,65,11,5,5,262.3071,0,9999.99,3.18,3.307,2,9,29.4,0,29.39999962,40.6,1550.08944,10/7/22,11:02:04,27.87,60.63,40.6,1.085,8.2,-71.3,-1.1,-5.5,-5369,48.4,3.03,12.5,
25.91273075,-80.13782004,29:29.5,10/7/22,8,0.065,319.79,-7.22131876,1.02,0.4,355.19,1.24,-5.26,33.4,0,3.16,3.16,95,22,510.9,16.3,-1.3,D,1550.5,1,9.764,1,0.08,160,77.73,-80.13772464,25.9127494,0,0,1,N,1.503454,64,64,11,250,250,75.97535,0,9999.99,3.17,3.297,2,9,29.4,0,29.39999962,40.36,1549.83777,10/7/22,11:02:06,27.89,60.31,40.36,1.092,8.2,-71.2,-2.8,-0.5,-1902,48.4,3.03,12.4,
25.9127303,-80.13781959,29:30.5,10/7/22,8,0.105,319.79,-7.22131876,1.02,359.9,354.68,1.74,-0.37,33.5,0,3.16,3.16,95,25,510.9,16.3,-1.5,D,1340.4,1,9.732,1,0.08,160,77.39,-80.13772464,25.9127494,0,0,1,N,1.555769,69,69,11,250,250,75.61336,0,9999.99,3.17,3.297,2,9,29.4,0,29.39999962,40.3,1549.77486,10/7/22,11:02:07,27.89,60.23,40.3,1.086,8.2,-71.5,-2.3,-1.9,-302,48.4,3.03,12.5,
25.91273134,-80.13782011,29:31.5,10/7/22,8,0.26,319.79,-7.22131876,1.02,0.9,355.7,1.53,-2.75,33.5,0,3.13,3.13,95,25,510.9,16.3,-1.5,D,1340.4,1,9.757,1,0.03,160,78.12,-80.13772464,25.9127494,0,0,1,N,1.441756,66,66,11,250,250,76.40298,0,9999.99,3.15,3.277,2,9,29.4,0,29.39999962,40.25,1549.72243,10/7/22,11:02:08,27.88,60.17,40.25,1.122,8.2,-71.4,-2.8,-2.2,-1231,48.4,3.03,12.4,
25.91273404,-80.13782063,29:32.5,10/7/22,8,0.49,319.79,-7.22131876,1.02,2.1,356.93,1.56,-1.46,33.4,0,3.13,3.13,95,25,510.9,16.3,-1.5,D,1340.4,1,9.751,1,0.16,160,79.91,-80.13772464,25.9127494,0,0,1,N,1.147604,66,66,11,250,250,78.45539,0,9999.99,3.14,3.267,2,9,29.4,0,29.39999962,40.25,1549.72243,10/7/22,11:02:08,27.88,60.17,40.25,1.122,8.2,-71.4,-2.8,-2.2,-1231,48.4,3.03,12.4,
25.91273769,-80.13782197,29:33.5,10/7/22,8,0.693,319.79,-7.22131876,1.02,4.5,359.38,1.74,-1.26,33.4,0,3.04,3.04,95,25,510.9,16.3,-1.5,D,1340.4,1,9.822,1,0.34,160,82.38,-80.13772464,25.9127494,0,0,1,N,0.7481353,67,67,11,250,250,81.276,0,9999.99,3.05,3.177,2,9,29.4,0,29.39999962,40.48,1549.96361,10/7/22,11:02:09,27.82,60.46,40.48,1.112,8.2,-71.3,-2.2,-3.3,-1050,48.4,3.03,12.3,
25.91274127,-80.13782354,29:34.5,10/7/22,8,0.806,333.34,-7.22131876,1.02,8.8,3.78,2.26,-1.85,33.4,0,3.03,3.03,95,28,510.9,16.3,-1.7,D,1231,1,9.933,1,0.5,160,84.78,-80.13772464,25.9127494,0,0,1,N,0.3510073,71,71,11,250,250,84.10658,0,9999.99,3.05,3.177,2,9,29.4,0,29.39999962,40.5,1549.98458,10/7/22,11:02:11,27.74,60.49,40.5,1.109,8.2,-71.3,-2.7,1.7,-1717,48.4,3.03,12.5,
25.91274622,-80.13782563,29:35.5,10/7/22,8,0.882,340.62,-7.22131876,1.02,12.9,7.98,2.43,-1.99,33.4,0,2.99,2.99,95,28,510.9,16.3,-1.7,D,1231,1,10.107,1,0.63,160,87.99,-80.13772464,25.9127494,0,0,1,N,0.2076558,72,72,11,250,250,88.10593,0,9999.99,3.01,3.137,2,9,29.4,0,29.39999962,40.5,1549.98458,10/7/22,11:02:11,27.74,60.49,40.5,1.109,8.2,-71.3,-2.7,1.7,-1717,48.4,3.03,12.5,
25.9127504,-80.13782634,29:36.5,10/7/22,8,0.907,349.55,-7.22131876,1.02,19.2,14.43,2.32,-1.36,33.4,0,3,3,95,28,510.9,16.3,-1.7,D,1231,1,10.173,1,0.71,160,90.63,-80.13772464,25.9127494,0,0,1,N,0.6669986,71,71,11,250,250,91.38512,0,9999.99,3.02,3.147,2,9,29.4,0,29.39999962,40.56,1550.0475,10/7/22,11:02:12,27.71,60.56,40.56,1.096,8.2,-71.4,-2.1,-0.9,-3380,48.3,3.03,12.6,
25.91275515,-80.13782607,29:37.5,10/7/22,8,0.989,351.4,-7.22131876,1.02,24.5,19.84,2.43,-1.48,33.4,0,3.05,3.05,95,28,510.9,16.3,-1.7,D,1231,1,10.164,1,0.8,160,93.61,-80.13772464,25.9127494,0,0,1,N,1.188758,72,72,11,250,250,95.07122,0,9999.99,3.07,3.197,2,9,29.4,0,29.39999962,40.18,1549.64903,10/7/22,11:02:14,27.68,60.06,40.18,1.101,8.21,-71.7,-2.6,-5.3,-442,48.3,3.04,12.5,
25.91275951,-80.13782567,29:38.5,10/7/22,8,0.987,357.32,-7.22131876,1.02,29.9,25.34,2.69,-1.77,33.5,0,3.1,3.1,95,28,510.9,16.3,-1.7,D,1226,1,10.167,1,0.83,160,96.35,-80.13772464,25.9127494,0,0,1,N,1.676983,73,73,11,250,250,98.45882,0,9999.99,3.12,3.247,2,9,29.4,0,29.39999962,40.18,1549.64903,10/7/22,11:02:14,27.68,60.06,40.18,1.101,8.21,-71.7,-2.6,-5.3,-442,48.3,3.04,12.5,
25.91276347,-80.13782427,29:39.6,10/7/22,8,0.987,8.95,-7.22131876,1.02,35.5,31.03,3.11,-2.01,33.5,0,3.18,3.18,95,28,510.9,16.3,-1.7,D,1226,1,10.087,1,0.89,160,98.92,-80.13772464,25.9127494,0,0,1,N,2.109287,76,76,11,250,250,101.3897,0,9999.99,3.21,3.337,2,9,29.3,0,29.29999924,40,1549.25362,10/7/22,11:02:15,27.7,59.83,40,1.091,8.2,-71.5,-2.9,-2.3,-1959,48.2,3.04,12.5,
25.91276799,-80.13782129,29:40.6,10/7/22,8,0.951,15.15,-7.22131876,1.02,40.7,36.29,2.61,-1.05,33.5,0,3.37,3.37,95,28,510.9,16.3,-1.7,D,1226,1,9.885,1,0.92,160,102.07,-80.13772464,25.9127494,0,0,1,N,2.591315,73,73,11,250,250,104.5679,0,9999.99,3.4,3.527,2,9,29.3,0,29.29999924,40.09,1549.34805,10/7/22,11:02:17,27.66,59.95,40.09,1.101,8.19,-71,-3.1,-5.3,-1670,48.2,3.04,12.3,
25.9127722,-80.13781815,29:41.6,10/7/22,8,0.99,19.86,-7.22131876,1.02,45.5,41.12,2.61,-2.11,33.4,0,3.5,3.5,95,28,510.8,16.3,-1.7,D,1240.2,1,9.69,1,0.94,160,105.17,-80.13772464,25.9127494,0,0,1,N,3.042512,73,73,11,250,250,107.4416,0,9999.99,3.52,3.647,2,9,29.3,0,29.29999924,40.09,1549.34805,10/7/22,11:02:17,27.66,59.95,40.09,1.101,8.19,-71,-3.1,-5.3,-1670,48.2,3.04,12.3,
25.91277567,-80.13781514,29:42.6,10/7/22,8,1.053,26.23,-7.22131876,1.02,51.7,47.32,2.91,-0.69,33.4,0,3.64,3.64,95,28,510.8,16.3,-1.7,D,1240.2,1,9.512,1,0.94,160,107.89,-80.13772464,25.9127494,0,0,1,N,3.420259,74,74,11,250,250,109.7686,0,9999.99,3.67,3.797,2,9,29.3,0,29.29999924,40.09,1549.34805,10/7/22,11:02:18,27.63,59.95,40.09,1.097,8.2,-71.4,-3.4,0.3,-495,48.2,3.04,12.4,
25.91277958,-80.13781115,29:43.6,10/7/22,8,1.029,33.25,-7.22131876,1.02,56.2,51.79,2.96,-0.5,33.4,0,3.56,3.56,95,28,510.8,16.3,-1.7,D,1240.2,1,9.28,1,1.01,160,111.2,-80.13772464,25.9127494,0,0,1,N,3.83403,75,75,11,250,250,112.2256,0,9999.99,3.59,3.717,2,9,29.3,0,29.29999924,40.36,1549.63136,10/7/22,11:02:20,27.63,60.3,40.36,1.102,8.2,-71.3,-2.9,-2.4,-2741,48.3,3.04,12.4,
25.91278227,-80.13780706,29:44.6,10/7/22,8,0.961,40.66,-7.22131876,1.02,62,57.51,2.88,-1.45,33.4,0,3.6,3.6,95,28,510.8,16.3,-1.7,D,1240.2,1,9.017,1,0.98,160,113.91,-80.13772464,25.9127494,0,0,1,N,4.109082,75,75,11,250,250,113.8071,0,9999.99,3.63,3.757,2,9,29.3,0,29.29999924,40.08,1549.33756,10/7/22,11:02:21,27.65,59.93,40.08,1.111,8.2,-71.3,-2.9,-6.1,-1281,48.3,3.04,12.2,
25.91278481,-80.13780291,29:45.6,10/7/22,8,0.998,47.7,-7.22131876,1.02,66.7,62.11,2.88,-1.22,33.5,0,3.7,3.7,95,28,510.8,16.3,-1.7,D,1233.7,1,8.763,1,1.01,160,116.7,-80.13772464,25.9127494,0,0,1,N,4.375829,74,74,11,250,250,115.2959,0,9999.99,3.73,3.857,2,9,29.2,0,29.29999924,40.05,1549.30608,10/7/22,11:02:22,27.64,59.89,40.05,1.103,8.2,-71.2,-2.5,-5.9,-3993,48.2,3.04,12.4,
25.91278675,-80.1377982,29:46.6,10/7/22,8,1.009,54.23,-7.22131876,1.02,71.3,66.58,3.09,-1.68,33.5,0,3.69,3.69,95,28,510.8,16.3,-1.7,D,1233.7,1,8.448,1,1.01,160,119.44,-80.13772464,25.9127494,0,0,1,N,4.566989,76,76,11,250,250,116.3409,0,9999.99,3.72,3.847,2,9,29.2,0,29.29999924,40.05,1549.30608,10/7/22,11:02:22,27.64,59.89,40.05,1.103,8.2,-71.2,-2.5,-5.9,-3993,48.2,3.04,12.4,
25.91278877,-80.1377937,29:47.6,10/7/22,8,1.053,59.66,-7.22131876,1.02,76.1,71.21,3.1,-1.19,33.5,0,3.69,3.69,95,28,510.8,16.3,-1.7,D,1233.7,1,8.178,1,1.03,160,122.37,-80.13772464,25.9127494,0,0,1,N,4.768774,76,76,11,250,250,117.4184,0,9999.99,3.72,3.847,2,9,29.2,0,29.20000076,40.18,1549.23532,10/7/22,11:02:23,27.62,60.06,40.18,1.101,8.2,-71.1,-3.2,-4.3,-605,48.2,3.04,12.3,
25.9127901,-80.13778892,29:48.6,10/7/22,8,1.01,65.64,-7.22131876,1.02,81.9,76.76,2.91,-1.62,33.5,0,3.67,3.67,95,28,510.8,16.3,-1.7,D,1234.4,1,7.863,1,1.07,160,125.14,-80.13772464,25.9127494,0,0,1,N,4.8947,75,75,11,250,250,118.0788,0,9999.99,3.7,3.827,2,9,29.2,0,29.20000076,40.25,1549.30881,10/7/22,11:02:25,27.61,60.15,40.25,1.096,8.2,-71.1,-2.1,0.5,-1896,48,3.02,12.2,
25.91279088,-80.13778319,29:49.6,10/7/22,8,1.02,72.08,-7.22131876,1.02,86.7,81.32,3,-1.05,33.5,0,3.64,3.64,95,28,510.8,16.3,-1.7,D,1234.4,1,7.455,1,1.08,160,128.23,-80.13772464,25.9127494,0,0,1,N,4.95255,75,75,11,250,250,118.3789,0,9999.99,3.67,3.797,2,9,29.2,0,29.20000076,40.25,1549.30881,10/7/22,11:02:25,27.61,60.15,40.25,1.096,8.2,-71.1,-2.1,0.5,-1896,48,3.02,12.2,
25.91279156,-80.13777776,29:50.6,10/7/22,8,1.159,76.79,-7.22131876,1.02,91.4,85.76,2.9,-1.37,33.5,0,3.64,3.64,95,28,510.8,16.3,-1.7,D,1234.4,2,23.524,1,1.08,160,102.88,-80.13754847,25.91274442,0,0,1,N,5.002276,74,74,11,215,215,107.8171,0,9999.99,3.67,3.797,2,9,29.2,0,29.20000076,40.16,1549.21432,10/7/22,11:02:26,27.64,60.03,40.16,1.102,8.2,-71.3,-3.6,1.2,-1344,47.9,3.02,12.4,
25.9127913,-80.137772,29:51.6,10/7/22,8,1.191,81.59,-7.22131876,1.02,96,90.07,3.23,-1.79,33.4,0,3.66,3.66,95,28,510.8,16.3,-1.7,D,1234.4,2,22.957,1,1.13,160,103.12,-80.13754847,25.91274442,0,0,1,N,4.514071,76,76,11,209,209,110.6182,0,9999.99,3.69,3.817,2,9,29.2,0,29.20000076,39.9,1548.94133,10/7/22,11:02:28,27.6,59.69,39.9,1.088,8.19,-71,-2.6,-7,-95,47.9,3.02,12.4,
25.91279079,-80.13776579,29:52.6,10/7/22,8,1.227,87.21,-7.22131876,1.02,102,95.68,2.74,-1.49,33.5,0,3.55,3.55,95,28,510.8,16.3,-1.7,D,1222.9,2,22.339,1,1.16,160,103.34,-80.13754847,25.91274442,0,0,1,N,4.487244,73,73,11,190,190,111.4037,0,9999.99,3.57,3.697,2,9,29.2,0,29.20000076,39.9,1548.94133,10/7/22,11:02:28,27.6,59.69,39.9,1.088,8.19,-71,-2.6,-7,-95,47.9,3.02,12.4,
25.91278973,-80.13775908,29:53.6,10/7/22,8,1.257,94.07,-7.22131876,1.02,105.3,98.74,2.94,-2.25,33.5,0,3.55,3.55,95,28,510.8,16.3,-1.7,D,1222.9,2,21.658,1,1.22,160,103.45,-80.13754847,25.91274442,0,0,1,N,4.393347,75,75,11,180,180,112.0831,0,9999.99,3.57,3.697,2,9,29.2,0,29.20000076,40.17,1549.22482,10/7/22,11:02:29,27.59,60.04,40.17,1.108,8.19,-70.8,-2.6,-1,-509,47.8,3.01,12.3,
25.912788,-80.13775251,29:54.6,10/7/22,8,1.316,99.57,-7.22131876,1.02,109.3,102.45,2.66,-2.26,33.5,0,3.56,3.56,95,28,510.8,16.3,-1.7,D,1222.9,2,20.975,1,1.27,159,103.36,-80.13754847,25.91274442,0,0,1,N,4.230003,73,73,11,169,169,112.4832,0,9999.99,3.58,3.707,2,9,29.1,0,29.20000076,40.04,1549.08832,10/7/22,11:02:31,27.56,59.88,40.04,1.077,8.19,-70.7,-1,0.6,-3018,47.7,3.01,12.4,
25.91278554,-80.13774575,29:55.6,10/7/22,8,1.382,104.13,-7.22131876,1.02,111.6,104.58,2.54,-2.34,33.5,0,3.52,3.52,95,28,510.8,16.3,-1.7,D,1235.6,2,20.255,1,1.34,159,103.05,-80.13754847,25.91274442,0,0,1,N,3.982483,72,72,11,159,159,112.5967,0,9999.99,3.54,3.667,2,9,29.1,0,29.20000076,40.04,1549.08832,10/7/22,11:02:31,27.56,59.88,40.04,1.077,8.19,-70.7,-1,0.6,-3018,47.7,3.01,12.4,
25.91278286,-80.13773791,29:56.6,10/7/22,8,1.433,107.54,-7.22131876,1.02,114,106.8,2.05,-2.93,33.5,0,3.49,3.49,95,28,510.8,16.3,-1.7,D,1235.6,2,19.424,1,1.39,159,102.71,-80.13754847,25.91274442,0,0,1,N,3.708997,69,69,11,151,151,112.8544,0,9999.99,3.51,3.637,2,9,29.1,0,29.10000038,40.16,1549.00649,10/7/22,11:02:32,27.54,60.03,40.16,1.092,8.19,-70.6,-3,0.5,-3111,47.5,3,12.5,
